"evtype_data";"passage_num1_output";"passage_num2_output"
"482";"MARINE HIGH WIND";"Marine High Wind";"Marine High Wind"
"483";"MARINE MISHAP";NA;NA
"484";"MARINE STRONG WIND";"Strong Wind";"Strong Wind"
"485";"MARINE THUNDERSTORM WIND";"Thunderstorm Wind";"Thunderstorm Wind"
"486";"MARINE TSTM WIND";NA;"Thunderstorm Wind"
"487";"MICROBURST";NA;NA
"488";"MICROBURST WINDS";NA;"Cold/Wind Chill"
"489";"MILD PATTERN";NA;NA
"490";"MILD/DRY PATTERN";NA;"Drought"
"491";"MINOR FLOOD";"Flood";"Flood"
"492";"MINOR FLOODING";"Flood";"Flood"
"493";"MIXED PRECIP";NA;"Heavy Rain"
"494";"MIXED PRECIPITATION";NA;"Heavy Rain"
"495";"MODERATE SNOW";NA;"Heavy Snow"
"496";"MODERATE SNOWFALL";NA;"Heavy Snow"
"497";"MONTHLY PRECIPITATION";NA;"Heavy Rain"
"498";"MONTHLY RAINFALL";NA;"Heavy Rain"
"499";"MONTHLY SNOWFALL";NA;"Heavy Snow"
"500";"MONTHLY TEMPERATURE";NA;NA
"501";"MUD SLIDE";NA;NA
"502";"MUD SLIDES";NA;NA
"503";"MUD SLIDES URBAN FLOODING";"Flood";"Flood"
"504";"MUD/ROCK SLIDE";NA;NA
"505";"MUDSLIDE";NA;"Debris Flow"
"506";"MUDSLIDE/LANDSLIDE";NA;"Debris Flow"
"507";"MUDSLIDES";NA;"Debris Flow"
"508";"Marine Accident";NA;NA
"509";"Metro Storm, May 26";NA;NA
"510";"Microburst";NA;NA
"511";"Mild and Dry Pattern";NA;"Drought"
"512";"Minor Flooding";"Flood";"Flood"
"513";"Mixed Precipitation";NA;"Heavy Rain"
"514";"Monthly Rainfall";NA;"Heavy Rain"
"515";"Monthly Snowfall";NA;"Heavy Snow"
"516";"Mountain Snows";NA;"Heavy Snow"
"517";"Mudslide";NA;"Debris Flow"
"518";"Mudslides";NA;"Debris Flow"
"519";"NEAR RECORD SNOW";NA;"Heavy Snow"
"520";"NON SEVERE HAIL";"Hail";"Hail"
"521";"NON TSTM WIND";NA;"Thunderstorm Wind"
"522";"NON-SEVERE WIND DAMAGE";NA;"Cold/Wind Chill"
"523";"NON-TSTM WIND";NA;"Thunderstorm Wind"
"524";"NONE";NA;NA
"525";"NORMAL PRECIPITATION";NA;"Heavy Rain"
"526";"NORTHERN LIGHTS";NA;NA
"527";"No Severe Weather";NA;NA
"528";"OTHER";NA;NA
"529";"Other";NA;NA
"530";"PATCHY DENSE FOG";"Dense Fog";"Dense Fog"
"531";"PATCHY ICE";NA;"Frost/Freeze"
"532";"PROLONG COLD";NA;"Frost/Freeze"
"533";"PROLONG COLD/SNOW";NA;"Frost/Freeze"
"534";"PROLONG WARMTH";NA;"Heat"
"535";"PROLONGED RAIN";NA;NA
"536";"Prolong Cold";NA;"Frost/Freeze"
"537";"RAIN";NA;NA
"538";"RAIN (HEAVY)";NA;NA
"539";"RAIN AND WIND";NA;"Cold/Wind Chill"
"540";"RAIN/SNOW";NA;"Heavy Snow"
"541";"RAIN/WIND";NA;"Cold/Wind Chill"
"542";"RAINSTORM";NA;"Heavy Rain"
"543";"RAPIDLY RISING WATER";NA;NA
"544";"RECORD  COLD";NA;"Frost/Freeze"
"545";"RECORD COLD";NA;"Frost/Freeze"
"546";"RECORD COLD AND HIGH WIND";"High Wind";"High Wind"
"547";"RECORD COLD/FROST";NA;"Frost/Freeze"
"548";"RECORD COOL";NA;"Frost/Freeze"
"549";"RECORD DRYNESS";NA;"Drought"
"550";"RECORD HEAT";"Heat";"Heat"
"551";"RECORD HEAT WAVE";"Heat";"Heat"
"552";"RECORD HIGH";NA;NA
"553";"RECORD HIGH TEMPERATURE";NA;NA
"554";"RECORD HIGH TEMPERATURES";NA;NA
"555";"RECORD LOW";NA;NA
"556";"RECORD LOW RAINFALL";NA;"Heavy Rain"
"557";"RECORD PRECIPITATION";NA;"Heavy Rain"
"558";"RECORD RAINFALL";NA;"Heavy Rain"
"559";"RECORD SNOW";NA;"Heavy Snow"
"560";"RECORD SNOW/COLD";NA;"Frost/Freeze"
"561";"RECORD SNOWFALL";NA;"Heavy Snow"
"562";"RECORD TEMPERATURE";NA;NA
"563";"RECORD TEMPERATURES";NA;NA
"564";"RECORD WARM";NA;NA
"565";"RECORD WARM TEMPS.";NA;NA
"566";"RECORD WARMTH";NA;"Heat"
"567";"RECORD/EXCESSIVE HEAT";"Heat";"Heat"
"568";"RECORD/EXCESSIVE RAINFALL";NA;"Heavy Rain"
"569";"RED FLAG CRITERIA";NA;NA
"570";"RED FLAG FIRE WX";NA;"Wildfire"
"571";"REMNANTS OF FLOYD";NA;NA
"572";"RIP CURRENT";"Rip Current";"Rip Current"
"573";"RIP CURRENTS";"Rip Current";"Rip Current"
"574";"RIP CURRENTS HEAVY SURF";"Rip Current";"Rip Current"
"575";"RIP CURRENTS/HEAVY SURF";"Rip Current";"Rip Current"
"576";"RIVER AND STREAM FLOOD";"Flood";"Flood"
"577";"RIVER FLOOD";"Flood";"Flood"
"578";"RIVER FLOODING";"Flood";"Flood"
"579";"ROCK SLIDE";NA;NA
"580";"ROGUE WAVE";NA;NA
"581";"ROTATING WALL CLOUD";NA;NA
"582";"ROUGH SEAS";NA;NA
"583";"ROUGH SURF";NA;"High Surf"
"584";"RURAL FLOOD";"Flood";"Flood"
"585";"Rain Damage";NA;NA
"586";"Record Cold";NA;"Frost/Freeze"
"587";"Record Heat";"Heat";"Heat"
"588";"Record High";NA;NA
"589";"Record May Snow";NA;"Heavy Snow"
"590";"Record Temperatures";NA;NA
"591";"Record Warmth";NA;"Heat"
"592";"Record Winter Snow";NA;"Heavy Snow"
"593";"Record dry month";NA;"Drought"
"594";"Record temperature";NA;NA
"595";"River Flooding";"Flood";"Flood"
"596";"SAHARAN DUST";NA;NA
"597";"SEICHE";"Seiche";"Seiche"
"598";"SEVERE COLD";NA;"Frost/Freeze"
"599";"SEVERE THUNDERSTORM";NA;"Thunderstorm Wind"
"600";"SEVERE THUNDERSTORM WINDS";"Thunderstorm Wind";"Thunderstorm Wind"
"601";"SEVERE THUNDERSTORMS";NA;"Thunderstorm Wind"
"602";"SEVERE TURBULENCE";NA;NA
"603";"SLEET";"Sleet";"Sleet"
"604";"SLEET & FREEZING RAIN";"Sleet";"Sleet"
"605";"SLEET STORM";"Sleet";"Sleet"
"606";"SLEET/FREEZING RAIN";"Sleet";"Sleet"
"607";"SLEET/ICE STORM";"Sleet";"Sleet"
"608";"SLEET/RAIN/SNOW";"Sleet";"Sleet"
"609";"SLEET/SNOW";"Sleet";"Sleet"
"610";"SMALL HAIL";"Hail";"Hail"
"611";"SMALL STREAM";NA;"Flood"
"612";"SMALL STREAM AND";NA;"Flood"
"613";"SMALL STREAM AND URBAN FLOOD";"Flood";"Flood"
"614";"SMALL STREAM AND URBAN FLOODIN";"Flood";"Flood"
"615";"SMALL STREAM FLOOD";"Flood";"Flood"
"616";"SMALL STREAM FLOODING";"Flood";"Flood"
"617";"SMALL STREAM URBAN FLOOD";"Flood";"Flood"
"618";"SMALL STREAM/URBAN FLOOD";"Flood";"Flood"
"619";"SMOKE";NA;NA
"620";"SNOW";NA;"Heavy Snow"
"621";"SNOW ACCUMULATION";NA;"Heavy Snow"
"622";"SNOW ADVISORY";NA;"Heavy Snow"
"623";"SNOW AND COLD";NA;"Frost/Freeze"
"624";"SNOW AND HEAVY SNOW";"Heavy Snow";"Heavy Snow"
"625";"SNOW AND ICE";NA;"Frost/Freeze"
"626";"SNOW AND ICE STORM";"Ice Storm";"Ice Storm"
"627";"SNOW AND SLEET";"Sleet";"Sleet"
"628";"SNOW AND WIND";NA;"Heavy Snow"
"629";"SNOW DROUGHT";"Drought";"Drought"
"630";"SNOW FREEZING RAIN";NA;"Heavy Snow"
"631";"SNOW SHOWERS";NA;"Heavy Rain"
"632";"SNOW SLEET";"Sleet";"Sleet"
"633";"SNOW SQUALL";NA;"Heavy Snow"
"634";"SNOW SQUALLS";NA;"Heavy Snow"
"635";"SNOW- HIGH WIND- WIND CHILL";"High Wind";"High Wind"
"636";"SNOW/ BITTER COLD";NA;"Frost/Freeze"
"637";"SNOW/ ICE";NA;"Frost/Freeze"
"638";"SNOW/BLOWING SNOW";NA;"Heavy Snow"
"639";"SNOW/COLD";NA;"Frost/Freeze"
"640";"SNOW/FREEZING RAIN";NA;"Heavy Snow"
"641";"SNOW/HEAVY SNOW";"Heavy Snow";"Heavy Snow"
"642";"SNOW/HIGH WINDS";"High Wind";"High Wind"
"643";"SNOW/ICE";NA;"Frost/Freeze"
"644";"SNOW/ICE STORM";"Ice Storm";"Ice Storm"
"645";"SNOW/RAIN";NA;"Heavy Snow"
"646";"SNOW/RAIN/SLEET";"Sleet";"Sleet"
"647";"SNOW/SLEET";"Sleet";"Sleet"
"648";"SNOW/SLEET/FREEZING RAIN";"Sleet";"Sleet"
"649";"SNOW/SLEET/RAIN";"Sleet";"Sleet"
"650";"SNOWFALL RECORD";NA;"Heavy Snow"
"651";"SNOWMELT FLOODING";"Flood";"Flood"
"652";"SNOWSTORM";NA;"Heavy Snow"
"653";"SNOW\COLD";NA;"Frost/Freeze"
"654";"SOUTHEAST";NA;NA
"655";"STORM FORCE WINDS";NA;"Cold/Wind Chill"
"656";"STORM SURGE";NA;NA
"657";"STORM SURGE/TIDE";NA;NA
"658";"STREAM FLOODING";"Flood";"Flood"
"659";"STREET FLOOD";"Flood";"Flood"
"660";"STREET FLOODING";"Flood";"Flood"
"661";"STRONG WIND";"Strong Wind";"Strong Wind"
"662";"STRONG WIND GUST";"Strong Wind";"Strong Wind"
"663";"STRONG WINDS";"Strong Wind";"Strong Wind"
"664";"SUMMARY OF MARCH 24-25";NA;NA
"665";"SUMMARY OF MARCH 27";NA;NA
"666";"SUMMARY OF MARCH 29";NA;NA
"667";"Saharan Dust";NA;NA
"668";"Seasonal Snowfall";NA;"Heavy Snow"
"669";"Small Hail";"Hail";"Hail"
"670";"Sml Stream Fld";NA;NA
"671";"Snow";NA;"Heavy Snow"
"672";"Snow Accumulation";NA;"Heavy Snow"
"673";"Snow Squalls";NA;"Heavy Snow"
"674";"Snow and Ice";NA;"Frost/Freeze"
"675";"Snow and sleet";"Sleet";"Sleet"
"676";"Snow squalls";NA;"Heavy Snow"
"677";"Strong Wind";"Strong Wind";"Strong Wind"
"678";"Strong Winds";"Strong Wind";"Strong Wind"
"679";"Strong winds";"Strong Wind";"Strong Wind"
"680";"Summary August 10";NA;NA
"681";"Summary August 11";NA;NA
"682";"Summary August 17";NA;NA
"683";"Summary August 2-3";NA;NA
"684";"Summary August 21";NA;NA
"685";"Summary August 28";NA;NA
"686";"Summary August 4";NA;NA
"687";"Summary August 7";NA;NA
"688";"Summary August 9";NA;NA
"689";"Summary Jan 17";NA;NA
"690";"Summary July 23-24";NA;NA
"691";"Summary June 18-19";NA;NA
"692";"Summary June 5-6";NA;NA
"693";"Summary June 6";NA;NA
"694";"Summary Sept. 25-26";NA;NA
"695";"Summary September 20";NA;NA
"696";"Summary September 23";NA;NA
"697";"Summary September 3";NA;NA
"698";"Summary September 4";NA;NA
"699";"Summary of April 12";NA;NA
"700";"Summary of April 13";NA;NA
"701";"Summary of April 21";NA;NA
"702";"Summary of April 27";NA;NA
"703";"Summary of April 3rd";NA;NA
"704";"Summary of August 1";NA;NA
"705";"Summary of July 11";NA;NA
"706";"Summary of July 2";NA;NA
"707";"Summary of July 22";NA;NA
"708";"Summary of July 26";NA;NA
"709";"Summary of July 29";NA;NA
"710";"Summary of July 3";NA;NA
"711";"Summary of June 10";NA;NA
"712";"Summary of June 11";NA;NA
"713";"Summary of June 12";NA;NA
"714";"Summary of June 13";NA;NA
"715";"Summary of June 15";NA;NA
"716";"Summary of June 16";NA;NA
"717";"Summary of June 18";NA;NA
"718";"Summary of June 23";NA;NA
"719";"Summary of June 24";NA;NA
"720";"Summary of June 3";NA;NA
"721";"Summary of June 30";NA;NA
"722";"Summary of June 4";NA;NA
"723";"Summary of June 6";NA;NA
"724";"Summary of March 14";NA;NA
"725";"Summary of March 23";NA;NA
"726";"Summary of March 24";NA;NA
"727";"Summary of May 10";NA;NA
"728";"Summary of May 13";NA;NA
"729";"Summary of May 14";NA;NA
"730";"Summary of May 22";NA;NA
"731";"Summary of May 22 am";NA;NA
"732";"Summary of May 22 pm";NA;NA
"733";"Summary of May 26 am";NA;NA
"734";"Summary of May 26 pm";NA;NA
"735";"Summary of May 31 am";NA;NA
"736";"Summary of May 31 pm";NA;NA
"737";"Summary of May 9-10";NA;NA
"738";"Summary: Nov. 16";NA;NA
"739";"Summary: Nov. 6-7";NA;NA
"740";"Summary: Oct. 20-21";NA;NA
"741";"Summary: October 31";NA;NA
"742";"Summary: Sept. 18";NA;NA
"743";"THUDERSTORM WINDS";NA;"Cold/Wind Chill"
"744";"THUNDEERSTORM WINDS";NA;"Thunderstorm Wind"
"745";"THUNDERESTORM WINDS";NA;"Cold/Wind Chill"
"746";"THUNDERSNOW";NA;"Thunderstorm Wind"
"747";"THUNDERSTORM";NA;"Thunderstorm Wind"
"748";"THUNDERSTORM  WINDS";NA;"Thunderstorm Wind"
"749";"THUNDERSTORM DAMAGE";NA;"Thunderstorm Wind"
"750";"THUNDERSTORM DAMAGE TO";NA;"Thunderstorm Wind"
"751";"THUNDERSTORM HAIL";"Hail";"Hail"
"752";"THUNDERSTORM W INDS";NA;"Thunderstorm Wind"
"753";"THUNDERSTORM WIND";"Thunderstorm Wind";"Thunderstorm Wind"
"754";"THUNDERSTORM WIND (G40)";"Thunderstorm Wind";"Thunderstorm Wind"
"755";"THUNDERSTORM WIND 50";"Thunderstorm Wind";"Thunderstorm Wind"
"756";"THUNDERSTORM WIND 52";"Thunderstorm Wind";"Thunderstorm Wind"
"757";"THUNDERSTORM WIND 56";"Thunderstorm Wind";"Thunderstorm Wind"
"758";"THUNDERSTORM WIND 59";"Thunderstorm Wind";"Thunderstorm Wind"
"759";"THUNDERSTORM WIND 59 MPH";"Thunderstorm Wind";"Thunderstorm Wind"
"760";"THUNDERSTORM WIND 59 MPH.";"Thunderstorm Wind";"Thunderstorm Wind"
"761";"THUNDERSTORM WIND 60 MPH";"Thunderstorm Wind";"Thunderstorm Wind"
"762";"THUNDERSTORM WIND 65 MPH";"Thunderstorm Wind";"Thunderstorm Wind"
"763";"THUNDERSTORM WIND 65MPH";"Thunderstorm Wind";"Thunderstorm Wind"
"764";"THUNDERSTORM WIND 69";"Thunderstorm Wind";"Thunderstorm Wind"
"765";"THUNDERSTORM WIND 98 MPH";"Thunderstorm Wind";"Thunderstorm Wind"
"766";"THUNDERSTORM WIND G50";"Thunderstorm Wind";"Thunderstorm Wind"
"767";"THUNDERSTORM WIND G51";"Thunderstorm Wind";"Thunderstorm Wind"
"768";"THUNDERSTORM WIND G52";"Thunderstorm Wind";"Thunderstorm Wind"
"769";"THUNDERSTORM WIND G55";"Thunderstorm Wind";"Thunderstorm Wind"
"770";"THUNDERSTORM WIND G60";"Thunderstorm Wind";"Thunderstorm Wind"
"771";"THUNDERSTORM WIND G61";"Thunderstorm Wind";"Thunderstorm Wind"
"772";"THUNDERSTORM WIND TREES";"Thunderstorm Wind";"Thunderstorm Wind"
"773";"THUNDERSTORM WIND.";"Thunderstorm Wind";"Thunderstorm Wind"
"774";"THUNDERSTORM WIND/ TREE";"Thunderstorm Wind";"Thunderstorm Wind"
"775";"THUNDERSTORM WIND/ TREES";"Thunderstorm Wind";"Thunderstorm Wind"
"776";"THUNDERSTORM WIND/AWNING";"Thunderstorm Wind";"Thunderstorm Wind"
"777";"THUNDERSTORM WIND/HAIL";"Thunderstorm Wind";"Thunderstorm Wind"
"778";"THUNDERSTORM WIND/LIGHTNING";"Thunderstorm Wind";"Thunderstorm Wind"
"779";"THUNDERSTORM WINDS";"Thunderstorm Wind";"Thunderstorm Wind"
"780";"THUNDERSTORM WINDS      LE CEN";"Thunderstorm Wind";"Thunderstorm Wind"
"781";"THUNDERSTORM WINDS 13";"Thunderstorm Wind";"Thunderstorm Wind"
"782";"THUNDERSTORM WINDS 2";"Thunderstorm Wind";"Thunderstorm Wind"
"783";"THUNDERSTORM WINDS 50";"Thunderstorm Wind";"Thunderstorm Wind"
"784";"THUNDERSTORM WINDS 52";"Thunderstorm Wind";"Thunderstorm Wind"
"785";"THUNDERSTORM WINDS 53";"Thunderstorm Wind";"Thunderstorm Wind"
"786";"THUNDERSTORM WINDS 60";"Thunderstorm Wind";"Thunderstorm Wind"
"787";"THUNDERSTORM WINDS 61";"Thunderstorm Wind";"Thunderstorm Wind"
"788";"THUNDERSTORM WINDS 62";"Thunderstorm Wind";"Thunderstorm Wind"
"789";"THUNDERSTORM WINDS 63 MPH";"Thunderstorm Wind";"Thunderstorm Wind"
"790";"THUNDERSTORM WINDS AND";"Thunderstorm Wind";"Thunderstorm Wind"
"791";"THUNDERSTORM WINDS FUNNEL CLOU";"Thunderstorm Wind";"Thunderstorm Wind"
"792";"THUNDERSTORM WINDS G";"Thunderstorm Wind";"Thunderstorm Wind"
"793";"THUNDERSTORM WINDS G60";"Thunderstorm Wind";"Thunderstorm Wind"
"794";"THUNDERSTORM WINDS HAIL";"Thunderstorm Wind";"Thunderstorm Wind"
"795";"THUNDERSTORM WINDS HEAVY RAIN";"Thunderstorm Wind";"Thunderstorm Wind"
"796";"THUNDERSTORM WINDS LIGHTNING";"Thunderstorm Wind";"Thunderstorm Wind"
"797";"THUNDERSTORM WINDS SMALL STREA";"Thunderstorm Wind";"Thunderstorm Wind"
"798";"THUNDERSTORM WINDS URBAN FLOOD";"Thunderstorm Wind";"Thunderstorm Wind"
"799";"THUNDERSTORM WINDS.";"Thunderstorm Wind";"Thunderstorm Wind"
"800";"THUNDERSTORM WINDS/ FLOOD";"Thunderstorm Wind";"Thunderstorm Wind"
"801";"THUNDERSTORM WINDS/ HAIL";"Thunderstorm Wind";"Thunderstorm Wind"
"802";"THUNDERSTORM WINDS/FLASH FLOOD";"Thunderstorm Wind";"Thunderstorm Wind"
"803";"THUNDERSTORM WINDS/FLOODING";"Thunderstorm Wind";"Thunderstorm Wind"
"804";"THUNDERSTORM WINDS/FUNNEL CLOU";"Thunderstorm Wind";"Thunderstorm Wind"
"805";"THUNDERSTORM WINDS/HAIL";"Thunderstorm Wind";"Thunderstorm Wind"
"806";"THUNDERSTORM WINDS/HEAVY RAIN";"Thunderstorm Wind";"Thunderstorm Wind"
"807";"THUNDERSTORM WINDS53";"Thunderstorm Wind";"Thunderstorm Wind"
"808";"THUNDERSTORM WINDSHAIL";"Thunderstorm Wind";"Thunderstorm Wind"
"809";"THUNDERSTORM WINDSS";"Thunderstorm Wind";"Thunderstorm Wind"
"810";"THUNDERSTORM WINS";NA;"Thunderstorm Wind"
"811";"THUNDERSTORMS";NA;"Thunderstorm Wind"
"812";"THUNDERSTORMS WIND";NA;"Thunderstorm Wind"
"813";"THUNDERSTORMS WINDS";NA;"Thunderstorm Wind"
"814";"THUNDERSTORMW";NA;"Thunderstorm Wind"
"815";"THUNDERSTORMW 50";NA;"Thunderstorm Wind"
"816";"THUNDERSTORMW WINDS";NA;"Thunderstorm Wind"
"817";"THUNDERSTORMWINDS";NA;"Thunderstorm Wind"
"818";"THUNDERSTROM WIND";NA;"Cold/Wind Chill"
"819";"THUNDERSTROM WINDS";NA;"Cold/Wind Chill"
"820";"THUNDERTORM WINDS";NA;"Cold/Wind Chill"
"821";"THUNDERTSORM WIND";NA;"Cold/Wind Chill"
"822";"THUNDESTORM WINDS";NA;"Cold/Wind Chill"
"823";"THUNERSTORM WINDS";NA;"Cold/Wind Chill"
"824";"TIDAL FLOOD";"Flood";"Flood"
"825";"TIDAL FLOODING";"Flood";"Flood"
"826";"TORNADO";"Tornado";"Tornado"
"827";"TORNADO DEBRIS";"Tornado";"Tornado"
"828";"TORNADO F0";"Tornado";"Tornado"
"829";"TORNADO F1";"Tornado";"Tornado"
"830";"TORNADO F2";"Tornado";"Tornado"
"831";"TORNADO F3";"Tornado";"Tornado"
"832";"TORNADO/WATERSPOUT";"Waterspout";"Waterspout"
"833";"TORNADOES";"Tornado";"Tornado"
"834";"TORNADOES, TSTM WIND, HAIL";"Tornado";"Tornado"
"835";"TORNADOS";"Tornado";"Tornado"
"836";"TORNDAO";NA;NA
"837";"TORRENTIAL RAIN";NA;NA
"838";"TROPICAL DEPRESSION";"Tropical Depression";"Tropical Depression"
"839";"TROPICAL STORM";"Tropical Storm";"Tropical Storm"
"840";"TROPICAL STORM ALBERTO";"Tropical Storm";"Tropical Storm"
"841";"TROPICAL STORM DEAN";"Tropical Storm";"Tropical Storm"
"842";"TROPICAL STORM GORDON";"Tropical Storm";"Tropical Storm"
"843";"TROPICAL STORM JERRY";"Tropical Storm";"Tropical Storm"
"844";"TSTM";NA;"Thunderstorm Wind"
"845";"TSTM HEAVY RAIN";"Heavy Rain";"Heavy Rain"
"846";"TSTM WIND";NA;"Thunderstorm Wind"
"847";"TSTM WIND  (G45)";NA;"Thunderstorm Wind"
"848";"TSTM WIND (41)";NA;"Thunderstorm Wind"
"849";"TSTM WIND (G35)";NA;"Thunderstorm Wind"
"850";"TSTM WIND (G40)";NA;"Thunderstorm Wind"
"851";"TSTM WIND (G45)";NA;"Thunderstorm Wind"
"852";"TSTM WIND 40";NA;"Thunderstorm Wind"
"853";"TSTM WIND 45";NA;"Thunderstorm Wind"
"854";"TSTM WIND 50";NA;"Thunderstorm Wind"
"855";"TSTM WIND 51";NA;"Thunderstorm Wind"
"856";"TSTM WIND 52";NA;"Thunderstorm Wind"
"857";"TSTM WIND 55";NA;"Thunderstorm Wind"
"858";"TSTM WIND 65)";NA;"Thunderstorm Wind"
"859";"TSTM WIND AND LIGHTNING";"Lightning";"Lightning"
"860";"TSTM WIND DAMAGE";NA;"Thunderstorm Wind"
"861";"TSTM WIND G45";NA;"Thunderstorm Wind"
"862";"TSTM WIND G58";NA;"Thunderstorm Wind"
"863";"TSTM WIND/HAIL";"Hail";"Hail"
"864";"TSTM WINDS";NA;"Thunderstorm Wind"
"865";"TSTM WND";NA;"Thunderstorm Wind"
"866";"TSTMW";NA;"Thunderstorm Wind"
"867";"TSUNAMI";"Tsunami";"Tsunami"
"868";"TUNDERSTORM WIND";NA;"Cold/Wind Chill"
"869";"TYPHOON";NA;NA
"870";"Temperature record";NA;NA
"871";"Thundersnow shower";NA;"Thunderstorm Wind"
"872";"Thunderstorm Wind";"Thunderstorm Wind";"Thunderstorm Wind"
"873";"Tidal Flooding";"Flood";"Flood"
"874";"Torrential Rainfall";NA;"Heavy Rain"
"875";"Tstm Wind";NA;"Thunderstorm Wind"
"876";"UNSEASONABLY COLD";NA;"Frost/Freeze"
"877";"UNSEASONABLY COOL";NA;"Frost/Freeze"
"878";"UNSEASONABLY COOL & WET";NA;"Frost/Freeze"
"879";"UNSEASONABLY DRY";NA;"Drought"
"880";"UNSEASONABLY HOT";NA;"Heat"
"881";"UNSEASONABLY WARM";NA;NA
"882";"UNSEASONABLY WARM & WET";NA;NA
"883";"UNSEASONABLY WARM AND DRY";NA;"Drought"
"884";"UNSEASONABLY WARM YEAR";NA;NA
"885";"UNSEASONABLY WARM/WET";NA;NA
"886";"UNSEASONABLY WET";NA;NA
"887";"UNSEASONAL LOW TEMP";NA;NA
"888";"UNSEASONAL RAIN";NA;NA
"889";"UNUSUAL WARMTH";NA;"Heat"
"890";"UNUSUAL/RECORD WARMTH";NA;"Heat"
"891";"UNUSUALLY COLD";NA;"Frost/Freeze"
"892";"UNUSUALLY LATE SNOW";NA;"Heavy Snow"
"893";"UNUSUALLY WARM";NA;NA
"894";"URBAN AND SMALL";NA;"Flood"
"895";"URBAN AND SMALL STREAM";NA;"Flood"
"896";"URBAN AND SMALL STREAM FLOOD";"Flood";"Flood"
"897";"URBAN AND SMALL STREAM FLOODIN";"Flood";"Flood"
"898";"URBAN FLOOD";"Flood";"Flood"
"899";"URBAN FLOOD LANDSLIDE";"Flood";"Flood"
"900";"URBAN FLOODING";"Flood";"Flood"
"901";"URBAN FLOODS";"Flood";"Flood"
"902";"URBAN SMALL";NA;"Flood"
"903";"URBAN SMALL STREAM FLOOD";"Flood";"Flood"
"904";"URBAN/SMALL";NA;"Flood"
"905";"URBAN/SMALL FLOODING";"Flood";"Flood"
"906";"URBAN/SMALL STREAM";NA;"Flood"
"907";"URBAN/SMALL STREAM  FLOOD";"Flood";"Flood"
"908";"URBAN/SMALL STREAM FLOOD";"Flood";"Flood"
"909";"URBAN/SMALL STREAM FLOODING";"Flood";"Flood"
"910";"URBAN/SMALL STRM FLDG";NA;"Flood"
"911";"URBAN/SML STREAM FLD";NA;"Flood"
"912";"URBAN/SML STREAM FLDG";NA;"Flood"
"913";"URBAN/STREET FLOODING";"Flood";"Flood"
"914";"Unseasonable Cold";NA;"Frost/Freeze"
"915";"Urban Flood";"Flood";"Flood"
"916";"Urban Flooding";"Flood";"Flood"
"917";"Urban flood";"Flood";"Flood"
"918";"VERY DRY";NA;"Drought"
"919";"VERY WARM";NA;NA
"920";"VOG";NA;NA
"921";"VOLCANIC ASH";"Volcanic Ash";"Volcanic Ash"
"922";"VOLCANIC ASHFALL";"Volcanic Ash";"Volcanic Ash"
"923";"VOLCANIC ERUPTION";NA;"Volcanic Ash"
"924";"Volcanic Ash";"Volcanic Ash";"Volcanic Ash"
"925";"Volcanic Ash Plume";"Volcanic Ash";"Volcanic Ash"
"926";"WAKE LOW WIND";NA;"Cold/Wind Chill"
"927";"WALL CLOUD";NA;NA
"928";"WALL CLOUD/FUNNEL CLOUD";"Funnel Cloud";"Funnel Cloud"
"929";"WARM DRY CONDITIONS";NA;"Drought"
"930";"WARM WEATHER";NA;NA
"931";"WATER SPOUT";NA;"Waterspout"
"932";"WATERSPOUT";"Waterspout";"Waterspout"
"933";"WATERSPOUT FUNNEL CLOUD";"Waterspout";"Waterspout"
"934";"WATERSPOUT TORNADO";"Waterspout";"Waterspout"
"935";"WATERSPOUT-";"Waterspout";"Waterspout"
"936";"WATERSPOUT-TORNADO";"Waterspout";"Waterspout"
"937";"WATERSPOUT/";"Waterspout";"Waterspout"
"938";"WATERSPOUT/ TORNADO";"Waterspout";"Waterspout"
"939";"WATERSPOUT/TORNADO";"Waterspout";"Waterspout"
"940";"WATERSPOUTS";"Waterspout";"Waterspout"
"941";"WAYTERSPOUT";NA;"Waterspout"
"942";"WET MICROBURST";NA;NA
"943";"WET SNOW";NA;"Heavy Snow"
"944";"WET WEATHER";NA;NA
"945";"WHIRLWIND";NA;"Cold/Wind Chill"
"946";"WILD FIRES";NA;"Wildfire"
"947";"WILD/FOREST FIRE";NA;"Wildfire"
"948";"WILD/FOREST FIRES";NA;"Wildfire"
"949";"WILDFIRE";"Wildfire";"Wildfire"
"950";"WILDFIRES";"Wildfire";"Wildfire"
"951";"WIND";NA;"Cold/Wind Chill"
"952";"WIND ADVISORY";NA;"Cold/Wind Chill"
"953";"WIND AND WAVE";NA;"Cold/Wind Chill"
"954";"WIND CHILL";NA;"Cold/Wind Chill"
"955";"WIND CHILL/HIGH WIND";"High Wind";"High Wind"
"956";"WIND DAMAGE";NA;"Cold/Wind Chill"
"957";"WIND GUSTS";NA;"Cold/Wind Chill"
"958";"WIND STORM";NA;"Cold/Wind Chill"
"959";"WIND/HAIL";"Hail";"Hail"
"960";"WINDS";NA;"Cold/Wind Chill"
"961";"WINTER MIX";NA;NA
"962";"WINTER STORM";"Winter Storm";"Winter Storm"
"963";"WINTER STORM HIGH WINDS";"Winter Storm";"Winter Storm"
"964";"WINTER STORM/HIGH WIND";"Winter Storm";"Winter Storm"
"965";"WINTER STORM/HIGH WINDS";"Winter Storm";"Winter Storm"
